iter,wake_jitter_us,period_us,sensor_us,control_us,actuator_us,total_exec_us,overrun_period,overrun_budget,speed,voltage
413,83,9999,0,0,0,0,0,0,9.998894,9.999294
414,85,10001,0,0,0,0,1,0,9.998915,9.999307
415,82,9997,0,0,0,0,0,0,9.998935,9.999320
416,82,9999,0,0,0,0,0,0,9.998955,9.999333
417,84,10002,0,0,0,0,1,0,9.998974,9.999345
418,83,9998,0,0,0,0,0,0,9.998993,9.999358
419,82,9998,0,0,0,0,0,0,9.999012,9.999370
420,83,10001,0,0,0,0,1,0,9.999031,9.999381
421,82,9998,0,0,0,0,0,0,9.999049,9.999393
422,83,10000,0,0,0,0,0,0,9.999067,9.999404
423,82,9999,0,0,0,0,0,0,9.999084,9.999415
424,85,10002,0,0,0,0,1,0,9.999101,9.999426
425,82,9997,0,0,0,0,0,0,9.999118,9.999437
426,83,10000,0,0,0,0,0,0,9.999134,9.999447
427,82,9998,0,0,0,0,0,0,9.999151,9.999458
428,81,9999,0,0,0,0,0,0,9.999166,9.999468
429,97,10015,0,0,0,0,1,0,9.999182,9.999478
430,87,9990,0,0,0,0,0,0,9.999197,9.999488
431,87,10000,0,0,0,0,0,0,9.999212,9.999497
432,82,9995,0,0,0,0,0,0,9.999227,9.999507
433,83,10001,0,0,0,0,1,0,9.999241,9.999516
434,85,10002,0,0,0,0,1,0,9.999256,9.999525
435,82,9996,0,0,0,0,0,0,9.999270,9.999534
436,102,10020,0,0,0,0,1,0,9.999283,9.999542
437,90,9987,0,0,0,0,0,0,9.999297,9.999551
438,110,10020,0,0,0,0,1,0,9.999310,9.999559
439,86,9976,0,0,0,0,0,0,9.999323,9.999568
440,88,10001,0,0,0,0,1,0,9.999335,9.999576
441,97,10009,0,0,0,0,1,0,9.999348,9.999584
442,103,10005,0,0,0,0,1,0,9.999360,9.999591
443,90,9986,0,0,0,0,0,0,9.999372,9.999599
444,87,9997,0,0,0,0,0,0,9.999384,9.999607
445,82,9995,0,0,0,0,0,0,9.999395,9.999614
446,82,9999,0,0,0,0,0,0,9.999406,9.999621
447,83,10000,0,0,0,0,0,0,9.999417,9.999628
448,86,10002,0,0,0,0,1,0,9.999428,9.999635
449,111,10025,0,0,0,0,1,0,9.999439,9.999642
450,100,9989,0,0,0,0,0,0,9.999449,9.999649
451,90,9989,0,0,0,0,0,0,9.999460,9.999655
452,84,9994,0,0,0,0,0,0,9.999470,9.999662
453,83,9998,0,0,0,0,0,0,9.999480,9.999668
454,87,10004,0,0,0,0,1,0,9.999489,9.999674
455,82,9994,0,0,0,0,0,0,9.999499,9.999680
456,82,10000,0,0,0,0,0,0,9.999508,9.999686
457,84,10001,0,0,0,0,1,0,9.999518,9.999692
458,106,10022,0,0,0,0,1,0,9.999527,9.999698
459,89,9982,0,0,0,0,0,0,9.999535,9.999703
460,103,10013,0,0,0,0,1,0,9.999544,9.999709
461,83,9980,0,0,0,0,0,0,9.999553,9.999714
462,83,10000,0,0,0,0,0,0,9.999561,9.999720
463,82,9999,0,0,0,0,0,0,9.999569,9.999725
464,104,10021,0,0,0,0,1,0,9.999577,9.999730
465,89,9985,0,0,0,0,0,0,9.999585,9.999735
466,99,10009,0,0,0,0,1,0,9.999593,9.999740
467,85,9985,0,0,0,0,0,0,9.999600,9.999745
468,102,10017,0,0,0,0,1,0,9.999608,9.999750
469,90,9988,0,0,0,0,0,0,9.999615,9.999754
470,86,9995,0,0,0,0,0,0,9.999622,9.999759
