iter,wake_time_s,wake_jitter_us,period_us,sensor_us,control_us,actuator_us,total_exec_us,overrun_period,overrun_budget,speed,voltage
238,424431.137023,82,9999,0,0,0,0,0,0,9.970001,9.980852
239,424431.147029,88,10005,0,0,0,0,1,0,9.970562,9.981210
240,424431.157024,82,9994,0,0,0,0,0,0,9.971112,9.981561
241,424431.167027,85,10002,0,0,0,0,1,0,9.971651,9.981905
242,424431.177023,81,9996,0,0,0,0,0,0,9.972181,9.982244
243,424431.187025,84,10002,0,0,0,0,1,0,9.972701,9.982575
244,424431.197024,83,9998,0,0,0,0,0,0,9.973211,9.982901
245,424431.207022,81,9997,0,0,0,0,0,0,9.973711,9.983220
246,424431.217029,88,10006,0,0,0,0,1,0,9.974202,9.983534
247,424431.227024,83,9995,0,0,0,0,0,0,9.974684,9.983841
248,424431.237040,98,10015,0,0,0,0,1,0,9.975157,9.984143
249,424431.247035,94,9995,0,0,0,0,0,0,9.975621,9.984439
250,424431.257036,95,10000,0,0,0,0,0,0,9.976077,9.984730
251,424431.267020,79,9984,0,0,0,0,0,0,9.976524,9.985015
252,424431.277026,85,10006,0,0,0,0,1,0,9.976962,9.985295
253,424431.287022,81,9996,0,0,0,0,0,0,9.977393,9.985570
254,424431.297024,82,10001,0,0,0,0,1,0,9.977815,9.985840
255,424431.307026,85,10002,0,0,0,0,1,0,9.978229,9.986104
256,424431.317027,86,10000,0,0,0,0,0,0,9.978636,9.986364
257,424431.327024,83,9997,0,0,0,0,0,0,9.979035,9.986619
258,424431.337027,86,10003,0,0,0,0,1,0,9.979427,9.986869
259,424431.347043,102,10015,0,0,0,0,1,0,9.979811,9.987114
260,424431.357028,87,9985,0,0,0,0,0,0,9.980188,9.987355
261,424431.367023,81,9994,0,0,0,0,0,0,9.980559,9.987591
262,424431.377026,85,10003,0,0,0,0,1,0,9.980922,9.987823
263,424431.387026,85,9999,0,0,0,0,0,0,9.981278,9.988050
264,424431.397025,84,9999,0,0,0,0,0,0,9.981628,9.988273
265,424431.407047,105,10021,0,0,0,0,1,0,9.981971,9.988493
266,424431.417049,107,10001,0,0,0,0,1,0,9.982308,9.988708
267,424431.427027,86,9978,0,0,0,0,0,0,9.982639,9.988918
268,424431.437073,132,10045,0,0,0,0,1,0,9.982963,9.989125
269,424431.447031,90,9958,0,0,0,0,0,0,9.983281,9.989329
270,424431.457028,86,9996,0,0,0,0,0,0,9.983594,9.989528
271,424431.467026,85,9998,0,0,0,0,0,0,9.983900,9.989724
272,424431.477028,87,10001,0,0,0,0,1,0,9.984201,9.989916
273,424431.487024,83,9996,0,0,0,0,0,0,9.984496,9.990104
274,424431.497027,86,10002,0,0,0,0,1,0,9.984786,9.990289
275,424431.507029,87,10001,0,0,0,0,1,0,9.985070,9.990470
276,424431.517025,84,9996,0,0,0,0,0,0,9.985349,9.990648
277,424431.527026,85,10000,0,0,0,0,0,0,9.985622,9.990823
278,424431.537028,87,10001,0,0,0,0,1,0,9.985891,9.990995
279,424431.547041,100,10013,0,0,0,0,1,0,9.986155,9.991163
280,424431.557026,85,9985,0,0,0,0,0,0,9.986413,9.991328
281,424431.567028,87,10001,0,0,0,0,1,0,9.986667,9.991490
282,424431.577024,83,9996,0,0,0,0,0,0,9.986916,9.991649
283,424431.587031,90,10006,0,0,0,0,1,0,9.987161,9.991805
284,424431.597025,84,9993,0,0,0,0,0,0,9.987401,9.991958
